지역,발생건수,위도,경도,도로등급구분코드
경기 남양주시,1,37.5931229369865,127.21431444694583,103
세종특별자치시 세종시,1,36.528559449142406,127.32436159538874,103
세종특별자치시 세종시,1,36.52453223742226,127.32888904931224,103
대전,1,36.47579081273877,127.47959815812008,103
세종특별자치시 세종시,1,36.47059266567428,127.23828811648018,103
논산,1,36.216735217124665,127.29067889030766,103
서울 용산구,1,37.53534749832147,126.95539690077756,103
경기 고양시 일산동구,1,37.64108168004131,126.79329861480451,103
경기 성남시 분당구,1,37.37167642674675,127.14579968645,103
서울 광진구,1,37.52993382085226,127.08410672921582,103
화성,1,37.0762637703258,126.9181912014002,103
화성,1,37.076152726168495,126.92119091360227,103
대구 수성구,1,35.860191038037065,128.6260340986965,103
인천 서구,1,37.57033774975264,126.64970354293476,103
인천 계양구,1,37.53348274483948,126.73989021065393,103
충북 음성군,1,36.99797766644582,127.47080660411196,103
충북 음성군,1,36.99781104679708,127.4722786889876,103
충북 음성군,1,37.00061643482642,127.48169436737416,103
충북 음성군,1,37.00183850920709,127.48169433269815,103
충북 음성군,1,37.0100321277442,127.49074878178384,103
충북 음성군,1,37.01553164661659,127.5008309857992,103
충북 음성군,1,37.00869962793029,127.52752304870766,103
충북 음성군,1,37.00819973109167,127.52985617114736,103
충북 음성군,1,37.00600577469787,127.54202172651198,103
경기 수원시 권선구,1,37.27238009462278,126.98798450102387,103
경기 수원시 권선구,1,37.27307440577861,126.9852625237894,103
순천,1,34.93397574203358,127.54513303858243,103
경기 의왕시,1,37.32170667342067,126.94582054581927,103
경기 양평군,1,37.51705705118489,127.65807906143986,103
경기 양평군,1,37.51783476335852,127.65963444322442,103
당진,1,36.99771360389116,126.68454936220476,103
경기 구리시,1,37.6322835895624,127.14643104605877,103
세종특별자치시 세종시,1,36.4806479967882,127.29347698782595,103
서울 동대문구,1,37.57859353226569,127.02763862022576,103
서울 종로구,1,37.57242744382456,127.01805639794964,103
전남 무안군,1,35.08985256168775,126.28527593016102,103
제주특별자치도 서귀포시,1,33.47399703534093,126.89720143416795,103
세종특별자치시 세종시,1,36.47250979484977,127.2771176699624,103
화성,1,37.090817002433184,126.88688827796756,103
전남 나주시,1,35.00020654176786,126.88369368853957,103
제천,1,37.18616428070406,128.27283497233262,103
경북 경산시,1,35.85752806509176,128.80618385628918,103
경북 경산시,1,35.85688924898111,128.80601722345816,103
경북 경산시,1,35.85038998471606,128.80407314664458,103
경북 경산시,1,35.842502092112234,128.8072119636633,103
경북 경산시,1,35.84158554427088,128.8077397177315,103
경북 경산시,1,35.83766938938096,128.81021181819722,103
전남 장성군,1,35.32447144738753,126.75689198821502,103
경기 양주시,1,37.91785710799904,126.99824282380033,103
울산 남구,1,35.51341185024007,129.3173956757681,103
서울 강남구,1,37.46452530389859,127.09419094934655,103
서울 성북구,1,37.588731142175895,127.02527744936596,103
울산 울주군,1,35.56420988557732,129.23770723591056,103
충남 보령시,1,36.34273572195178,126.59868637015566,103
서울 금천구,1,37.43788623873707,126.90468238607136,103
충북 청주시 흥덕구,1,36.64071449391481,127.42926508232894,103
인천 서구,1,37.5007354933366,126.67000906774778,103
인천 계양구,1,37.53617680058278,126.73652935193032,103
화성,1,37.18889173891779,127.07156206726894,103
경기 고양시 일산서구,1,37.6890754835966,126.77468796049725,103
경기 이천시,1,37.27761016986399,127.45543899638608,103
인천 동구,1,37.47987617208793,126.6275693525806,103
충남 아산시,1,36.770858914411065,127.06471325059574,103
경기 용인시 수지구,1,37.31859813566551,127.067780998046,103
전남 해남군,1,34.40607717278012,126.57809814306064,103
경북 포항시 북구,1,36.2108853425512,129.3515666703756,103
경북 포항시 남구,1,35.95186087861308,129.3668228416753,103
경남 사천시,1,35.01475153186222,127.97381291258957,103
전북 익산시,1,35.989481017166725,127.08292705886802,103
경기 김포시,1,37.681906477013705,126.59484466066732,103
부산 부산진구,1,35.15558735301528,129.02115560297085,103
전남 해남군,1,34.4694296007085,126.50396470954796,103
서울 강북구,1,37.63941941517858,127.0259148234496,103
충북 청주시 청원구,1,36.71248330379279,127.4118203163639,103
진천,1,36.88371393463042,127.48353083145454,103
진천,1,36.89465715451422,127.488891117143,103
진천,1,36.91565487939272,127.50327802604389,103
경북 예천군,1,36.61951223590581,128.37370301871135,103
경기 광주시,1,37.3587893124894,127.15724338556096,103
경기 광주시,1,37.39939638177943,127.20657076646404,103
충북 음성군,1,36.94045748322493,127.50580485823129,103
충북 음성군,1,36.938291205165385,127.51274869456792,103
서울 노원구,1,37.62864372636349,127.06854986027427,103
충북 음성군,1,36.93668032426627,127.5146929972024,103
충북 음성군,1,36.94781827577739,127.5370794121744,103
충북 음성군,1,36.94579077456021,127.538801525905,103
경기 군포시,1,37.36459010036317,126.93218177623363,103
경기 광주시,1,37.41095160407872,127.26539805173486,103
경기 광주시,1,37.40614662880412,127.26517598888168,103
광주 북구,1,35.18932336125754,126.90490914840984,103
경남 진주시,1,35.19373388587294,128.16890097224194,103
경기 파주시,1,37.71959840099741,126.71169326014336,103
경기 용인시 기흥구,1,37.307434014815854,127.13355270200243,103
부산 금정구,1,35.237940056658594,129.09028575727433,103
경기 용인시 처인구,1,37.10943468343357,127.3769513976834,103
경기 용인시 처인구,1,37.10904583862318,127.37678475817496,103
경기 안성시,1,37.06507567710675,127.1966089870474,103
서울 노원구,1,37.661195186721805,127.06174403307492,103
경북 경주시,1,35.66481074964446,129.32430736338674,103
서울 서초구,1,37.49146452649467,126.98692285300554,103
경기 안성시,1,37.081436835303,127.308736566415,103
경기 안성시,1,37.08624182532786,127.30965300857774,103
