생태통로명,위도,경도
왕배산생태통로,37.1710952,127.11794
동탄숲생태통로,37.1871633,127.122831
화석리 생태통로,37.0330327,127.7308066
두룡리 생태통로,36.2759172,126.595133
옥서리 생태통로(2),36.2798478,126.5962514
옥서리 생태통로(1),36.283174,126.5968859
유정리 생태통로,35.4780125,127.5460961
백산리 생태통로,35.3662644,127.1184522
운북리 생태통로,35.4722536,127.0403757
서무리 생태통로,35.4574158,127.5761525
덕동리 생태통로(4),35.3560402,127.5294531
덕동리 생태통로(3),35.3560402,127.5294531
서도리 생태통로,35.4891655,127.3138208
상정리 생태통로(2),35.5022,129.2516616
활천리 생태통로,35.6839091,129.1818123
야천리 생태통로,35.7734133,128.1459665
성기리 생태통로(1),35.7054724,128.0836244
죽림리 생태통로,35.4686039,127.6408445
개명리 생태통로,35.85956,127.8332812
신복리 생태통로,37.5690583,127.4632802
적목리 생태통로(3),37.983053,127.433456
적목리 생태통로(2),37.983053,127.433456
적목리 생태통로(1),37.983053,127.433456
하궁리 생태통로,37.4933555,128.148598
고사리 생태통로,38.022204,128.2263677
상남리 생태통로,37.8624543,128.2199006
한계리 생태통로,38.1219556,128.3101926
갈천리 생태통로,37.9205944,128.5004259
보광리 생태통로,37.7445329,128.7896549
금곡리 생태통로,35.2124005,128.2623247
옥서리 생태통로(3),36.2806077,126.5961856
송내리 생태통로,35.3448817,127.3488916
성기리 생태통로(2),35.7141199,128.0916161
무장리 생태통로,36.8637979,126.4469881
개화동 생태통로,37.5922583,126.8051798
영정리 생태통로,36.5169963,126.9996043
하구암리 생태통로,37.0219101,127.8267888
용전리 생태통로,37.0182929,127.8228028
영평리 생태통로,37.002175,127.8257849
환희리 생태통로,36.6607386,127.3507342
국사리 생태통로,36.6860765,127.3801512
장암동 생태통로,36.5850114,127.4764033
가마리 생태통로,36.5918225,127.4594828
월오동 생태통로,36.6078017,127.5452891
광진리 생태통로,36.8827145,127.948028
노산리 생태통로,36.4694453,127.4539836
현암리 생태통로,36.6485543,127.5567557
덕전리 생태통로,36.8027447,127.2020406
부전동 생태통로,35.5301356,126.9325311
월곡리 생태통로,35.3951197,127.1116333
송천리 생태통로,36.0872285,126.9043111
덕동리 생태통로(1),35.3428518,127.5356403
도림동 생태통로,37.4101784,126.7240118
구룡리 생태통로,34.9588777,127.2663154
진정리 생태통로,34.984917,127.7359793
해밀동 생태통로,36.5293885,127.2651209
한솔동 생태통로(3),36.47545,127.2569518
한솔동 생태통로(2),36.4800911,127.2584826
한솔동 생태통로(1),36.4813348,127.2525526
집현동 생태통로,36.5052522,127.3305853
어진동 생태통로,36.5075048,127.2564553
도담동 생태통로(3),36.5117372,127.2550471
도담동 생태통로(2),36.5188157,127.2561033
도담동 생태통로(1),36.5159659,127.2659494
고운동 생태통로,36.5321583,127.2436954
응암동 생태통로,37.5983631,126.9378129
구산동 생태통로,37.6183604,126.9060692
한남동 생태통로,37.5473929,127.0042546
신정동 생태통로,37.5113076,126.8490835
현저동 생태통로,37.5782865,126.9538777
성산동 생태통로,37.5726654,126.8969117
흑석동 생태통로,37.4987478,126.9596681
사당동 생태통로(2),37.4801313,126.9647767
사당동 생태통로(1),37.4922761,126.963465
대방동 생태통로,37.5063153,126.927424
답십리2동 생태통로,37.5731564,127.0615277
창동 생태통로,37.6441341,127.0440236
방학동 생태통로,37.6573053,127.0189191
우이동 생태통로,37.6618295,127.0164613
상계동 생태통로(2),37.6777829,127.0912621
상계동 생태통로(1),37.6688638,127.062486
시흥동 생태통로,37.4441495,126.9167592
궁동 생태통로,37.5062047,126.8247279
사당동 생태통로(3),37.4759608,126.9706562
신림동 생태통로(2),37.4612556,126.9247522
신림동 생태통로(1),37.4679085,126.9262175
내발산동 생태통로,37.5549434,126.8445806
미아동 생태통로,37.6197149,127.0367531
개포동 생태통로(4),37.4764015,127.0546043
개포동 생태통로(3),37.4872398,127.0617025
개포동 생태통로(2),37.4749911,127.0562788
개포동 생태통로(1),37.4806165,127.0501493
석곡동 생태통로,36.6043567,127.432893
서촌동 생태통로,36.6314541,127.3912693
지족동 생태통로(2),36.3814196,127.306612
지족동 생태통로(1),36.3816443,127.304255
노은동 생태통로(2),36.3699077,127.3073932
노은동 생태통로(1),36.366819,127.3106215
신동 생태통로,36.4721788,127.3669553
구룡동 생태통로,36.4447715,127.371567
중흥리 생태통로(2),36.57213,127.1756054
중흥리 생태통로(1),36.5619393,127.1844092
저산리 생태통로,36.1624484,126.680185
마대리 생태통로,36.16599,126.6850793
태산리 생태통로,36.5499731,127.1969057
삼정리 생태통로(1),35.5089884,129.2444399
대복리 생태통로,35.4776121,129.2238167
율리 생태통로,36.7080634,127.6304693
갈목리 생태통로,36.4990855,127.7908532
문당리 생태통로,36.7396764,127.6653234
주진리 생태통로,36.7539289,128.0293911
녹원리 생태통로,34.5731851,126.9413234
덕동리 생태통로(2),35.3560402,127.5294531
계라리 생태통로,34.5741914,126.7044903
도안동 생태통로,36.3106144,127.3449414
마달령 생태통로,36.3525584,127.5043787
도학동 생태통로,35.9926423,128.7004192
화전리 생태통로,36.126149,128.727305
용대리 생태통로,36.2229985,128.6239132
대흥리 생태통로(5),36.9657523,129.2868202
대흥리 생태통로(4),36.9824977,129.3225455
대흥리 생태통로(3),36.9835576,129.3252203
대흥리 생태통로(2),36.9744251,129.306033
대흥리 생태통로(1),36.9788179,129.3131663
하원리 생태통로(2),36.9541281,129.2602007
하원리 생태통로(1),36.9640976,129.2815367
죽곡리 생태통로,36.0449149,128.9490761
황장리 생태통로,36.4896881,129.1531724
동관리 생태통로,36.4802506,127.9155407
오상리 생태통로,36.4376729,128.2688195
적성리 생태통로,36.7978525,128.3191441
능치리 생태통로,36.2128558,128.0504712
장좌리 생태통로,34.9965834,128.4747723
중동 생태통로,37.2114226,127.1231158
영천동 생태통로,37.210601,127.1061838
유포리 생태통로,37.2499057,126.8377205
남전리 생태통로,37.252278,126.8296944
장전리 생태통로,37.2706152,126.8240249
남양리 생태통로,37.2145353,126.8210991
방축리 생태통로,37.8170393,126.8479169
지곶동 생태통로,37.1756567,127.031498
상중리 생태통로,36.9345269,127.3188919
청량리 생태통로,37.6633969,128.1678296
장현동 생태통로(2),37.3717217,126.8003173
장현동 생태통로(1),37.3798591,126.7976159
장곡동 생태통로,37.3825212,126.7835285
대장동 생태통로(2),37.3695249,127.0652371
대장동 생태통로(1),37.3723966,127.0734465
무사리 생태통로,37.4187453,129.1221124
여담교,37.2968883,127.0586078
갈참나무다리,37.2835417,127.0542898
소나무다리,37.2840055,127.0523437
나비잠자리다리,37.2909493,127.0452742
풍뎅이다리,37.3065454,127.0417618
반딧불이다리,37.2939185,127.0351373
돌마로생태통로,37.4160291,127.1432156
갈마치생태통로,37.4195602,127.1872964
도곡리 생태통로,37.5900547,127.2299451
외방리 생태통로,37.7347825,127.3028453
생태통로(대대터널:개착식),38.39968,128.464726
샛다리 생태통로,37.5916081,127.1281682
갈매생태통로,37.6203244,127.1131821
목동 직동간 터널,37.3910745,127.1942506
-,37.3989765,127.23304
오포터널,37.3496999,127.1671923
밤일생태육교,37.4527028,126.8565607
밤일생태육교,37.4530905,126.8566147
일산생태통로,37.6838435,126.7845261
상천2 생태통로,37.7707863,127.449117
상천1 생태통로,37.7896806,127.4632362
진부령 생태통로,38.2791061,128.3559937
생태육교 생태통로,37.7088017,127.4967611
덕현 생태통로,37.7561306,127.4114892
,37.983053,127.433456
,37.983053,127.433456
,37.983053,127.433456
,37.983053,127.433456
적목리1호,37.983053,127.433456
,37.983053,127.433456
,37.983053,127.433456
,37.983053,127.433456
진부리 생태통로,38.2666866,128.3582243
,37.9418638,127.4923861
도대리 생태통로,37.9306908,127.4903411
중앙선 333.46k,37.488002,127.949638
궁종리,37.5012757,128.1457815
궁종리 생태통로_1,37.4917361,128.15276
정금리 생태통로,37.5080289,128.1143283
삽교리 생태통로1,37.5793585,128.2547612
삽교리 생태통로2,37.5815942,128.2652647
삽교리 생태통로3,37.5820416,128.2681866
마암생태통로,37.5423426,128.2105163
,37.6202924,128.7728054
달거리생태이동통로,38.0610878,127.6440357
실내2 생태이동통로_2,38.1774663,127.5405642
실내1 생태이동통로,38.1774663,127.5405642
서울양양선 85.43k,37.7545825,128.0428227
,37.7576492,128.0158773
생곡리2호,37.694464,128.2708307
생곡리1호,37.694464,128.2708307
생곡리3호,37.694464,128.2708307
개야생태이동통로,37.6910021,127.6344916
서울양양선 70.31k,37.758945,127.8750466
무사리 생태이동통로,37.577219,128.8525457
,37.7101896,127.8042036
서울양양선 93.84k,37.7883193,128.1239744
자운리 생태통로,37.7222618,128.3834742
평택제천선 84.47k,37.0319774,127.7294427
평택제천선 78.47k,37.0093241,127.6789624
지릅재,36.8243795,128.0843265
신당리,36.9204565,128.0562639
,36.5763811,127.3780886
,36.5786683,127.3755275
,36.6531259,127.5129597
,36.7682326,127.4739841
,36.7128278,127.4259868
명개리 생태통로,37.8493492,128.53165
,36.7131129,127.4207604
,36.7169654,127.4168355
각리,36.7102585,127.428116
,36.6223964,127.4675738
,36.6146317,127.4809943
,36.6147964,127.4572127
성화2 생태교량,36.6127348,127.4507335
,36.6250457,127.476789
,36.6734926,127.6677363
,36.604575,127.5475703
월정사,37.7594062,128.5710184
,36.5665242,127.4833295
평택제천선 55.89k,36.945024,127.4526682
평택제천선 70.17k,36.9768927,127.5988937
지오생태통로,36.3268911,127.5751677
증약생태통로,36.3398016,127.5062924
청주상주선 19.58k(애곡육교),36.4817377,127.6143211
청주상주선  19.42k,36.4821993,127.613898
,36.4600171,127.7592843
청주상주선 24.55k,36.472521,127.6689382
청주상주선 28.41k,36.4598719,127.7079992
진고개 생태통로,37.7524716,128.610903
청주상주선 41.10k(갈평육교),36.4549302,127.8476142
,36.3717679,127.8423818
용부원리2,36.9097484,128.4124068
용부원리3,36.9097484,128.4124068
용부원리,36.9097484,128.4124068
죽령,36.9097484,128.4124068
방곡리,36.8089288,128.3550978
장회리,36.9305411,128.237742
가산리,36.8980923,128.3056254
가산리2,36.8969634,128.3058689
병내리 생태통로,37.7503291,128.6550863
가대리,37.036806,128.4093754
사담리,36.6150043,127.8119128
이곡리,36.7795149,127.7126714
,36.8265236,127.6596641
,36.8146104,127.7938121
구항생태통로,36.5867723,126.6327084
옥암생태통로,36.5856704,126.6328119
구룡생태통로,36.5824825,126.6950079
월계생태통로,36.5409021,126.7353356
,36.8413316,126.20562
용산리 생태통로,37.9581804,127.7172542
,36.515401,126.3538126
온천통문,36.3963386,126.9046619
,36.4319696,127.0136068
,36.8834036,127.2713465
중로1-44호,36.8066222,127.1135122
