한글보통명,위도,경도
두더지,36.05334722,126.8886778
멧돼지,36.09796111,127.0231139
다람쥐,37.74297465,127.0111138
청설모,37.74646076,127.0080888
고라니,37.74120798,127.0732582
고양이,37.71330799,127.0764694
두더지,37.74305521,127.0121499
족제비,37.74288576,127.0164221
두더지,37.65443856,127.024111
너구리,37.74683021,127.0769082
고라니,37.74678021,127.0768777
족제비,37.7325191,127.0668444
고양이,37.73671632,127.0384555
다람쥐,37.71707466,127.0645582
너구리,37.65348023,127.0258944
청설모,37.74019965,127.072261
너구리,37.74527743,127.0110444
다람쥐,37.65401078,127.0297638
고라니,37.72196633,127.0669055
청설모,37.74433021,127.0752277
두더지,37.65311078,127.0270694
두더지,37.74695798,127.0764138
고라니,37.74433576,127.0752138
두더지,37.74247743,127.013261
고라니,37.71896355,127.0738082
두더지,37.74436354,127.075261
너구리,36.98807068,127.0438978
너구리,36.98932068,127.0479503
고라니,36.98369986,127.0770686
고라니,36.99200652,127.0537814
두더지,36.9817468,127.0799883
고라니,36.98786042,127.0626122
고라니,36.99209374,127.0554364
족제비,36.98745819,127.0712103
고라니,36.98575847,127.0584756
너구리,36.98775207,127.0417286
고라니,36.98621346,127.0567117
고라니,36.99418624,127.0521114
너구리,36.98864207,127.0461081
고라니,36.98775792,127.0696867
고라니,36.98270458,127.0779975
고라니,36.98605403,127.0729592
두더지,36.98156792,127.0786147
족제비,36.98145958,127.0781217
고라니,36.98552403,127.0600222
두더지,36.98578653,127.0583631
고라니,36.96444792,127.0571153
고라니,36.98632068,127.0561356
고라니,36.96450347,127.0622311
고라니,36.98284236,127.0788753
고라니,36.9871393,127.0715264
고라니,36.98204097,127.0499597
고라니,36.98528264,127.0541836
고라니,36.75166679,129.1633217
두더지,36.98411541,127.039405
두더지,36.98504596,127.0394856
너구리,36.97660763,127.0195378
고라니,36.97660457,127.0195731
노루,36.80750011,129.1877662
두더지,36.7502779,129.1624884
두더지,36.98687374,127.0397283
두더지,36.76944455,129.1733217
고라니,36.98592152,127.0392086
고라니,36.98222346,127.0199192
족제비,36.98374429,127.0165222
고라니,36.75222234,129.1622106
고라니,36.97854013,127.0332342
고라니,36.77000011,129.1735995
고라니,36.97611013,127.02484
고라니,36.75222234,129.1627662
두더지,36.7502779,129.1624884
고라니,36.98807679,127.0413064
두더지,36.98465041,127.0136764
너구리,36.97764597,127.0370497
고라니,36.97196569,127.0405078
고라니,36.98446068,127.0142964
고라니,36.97352208,127.0360222
고라니,36.80583344,129.1869328
청설모,36.80555567,129.1863773
청설모,36.77694456,129.2222106
두더지,36.77722234,129.2219328
고라니,36.80861122,129.2477662
고라니,36.75187984,126.2220992
고라니,36.75610984,126.2089592
고라니,36.78494983,126.2330492
고양이,36.76072984,126.2322692
고라니,36.78475983,126.1989392
고라니,36.76015984,126.2069292
고라니,36.76048984,126.2318292
고라니,36.78075984,126.2316992
고라니,36.79231984,126.2982691
고라니,36.78471983,126.2210992
고라니,36.79243983,126.1963292
고라니,36.77786983,126.2127692
고라니,36.78122983,126.2157192
너구리,36.75666984,126.1967192
두더지,36.78602983,126.2371092
고라니,36.75394984,126.2231892
너구리,36.75969984,126.2310492
고라니,36.76285984,126.2338092
너구리,36.76217984,126.2301292
고라니,36.76212984,126.2330892
다람쥐,36.77192984,126.2183992
고라니,36.76109984,126.2329492
두더지,36.75421984,126.2220192
고라니,36.77122984,126.2121992
다람쥐,36.78552983,126.2259592
고라니,36.76171984,126.2337392
고라니,36.76026984,126.2317892
고라니,36.75932984,126.2315092
고라니,36.75407984,126.2224192
고라니,36.77167984,126.2121992
고라니,36.76544984,126.2141892
고라니,36.77698983,126.2113092
고라니,36.75774984,126.2283292
다람쥐,36.78493983,126.2262492
너구리,36.76052984,126.2064992
고라니,36.76860983,126.1942392
고라니,36.75925984,126.2321492
고라니,36.79745982,126.1272692
너구리,36.90892979,126.1554692
고라니,36.80828982,126.1553392
고라니,36.80730982,126.1680492
고양이,36.80561983,126.2268592
너구리,36.81438982,126.1586192
고라니,36.80558982,126.1539992
고라니,36.79896983,126.2113692
고라니,36.80287983,126.2233692
고라니,36.80253983,126.2235892
고라니,36.81202982,126.1573992
고라니,36.79600983,126.2362792
다람쥐,36.78762983,126.2356192
멧토끼,36.79768982,126.1648392
고양이,36.80409983,126.2078092
고라니,36.77906984,126.2466092
고라니,36.80150982,126.1760292
고라니,36.79566983,126.2180892
고라니,36.79762983,126.1731392
고라니,36.79542983,126.1688092
고라니,36.79627983,126.1734292
너구리,36.80590982,126.1541492
너구리,36.80711982,126.1669992
고라니,36.81045982,126.1915792
너구리,36.81208982,126.1567592
고라니,36.81258982,126.1874792
고라니,36.79809983,126.2112592
고라니,36.79852983,126.2000592
고라니,36.77615984,126.2403292
다람쥐,36.79488983,126.2202892
고라니,36.80455983,126.2320692
고라니,36.80848982,126.2020592
고라니,36.80291983,126.2292992
고라니,36.80626982,126.1546392
고라니,36.79547983,126.2200792
고라니,36.80854982,126.1549092
고라니,36.78600983,126.2369092
고라니,36.80688982,126.1666292
너구리,36.80472982,126.1522692
너구리,36.79519983,126.2137692
고라니,36.80395983,126.2084392
다람쥐,36.79418983,126.2210392
고라니,36.80548982,126.1772792
고라니,36.80455983,126.2292992
고라니,36.80915983,126.2338792
고라니,36.80262983,126.2229392
고라니,36.80842982,126.1559592
고라니,36.79945983,126.2009392
고라니,36.79714983,126.2147492
고라니,36.77168984,126.2468392
고양이,36.81021982,126.1556192
고라니,36.79749983,126.2151892
고라니,36.80575982,126.1525492
고라니,36.79798983,126.2117092
고라니,36.80905982,126.1916892
고라니,36.81015982,126.1783692
고라니,36.82211982,126.2341192
다람쥐,36.82434982,126.2279092
멧밭쥐,36.85103982,126.2189792
고라니,36.84284982,126.2333992
고양이,36.81207983,126.2425792
고라니,36.83954982,126.2163892
고라니,36.81489983,126.2273992
고양이,36.81234982,126.1888992
고라니,36.81600983,126.2398892
고라니,36.81251983,126.2429492
고라니,36.81603983,126.2467292
고라니,36.81635982,126.2151792
고라니,36.76620983,126.1295592
너구리,36.80899983,126.2127692
너구리,36.83388982,126.2475392
고라니,36.84628982,126.2289092
고라니,36.81323983,126.2268392
고라니,36.84226982,126.2301092
고라니,36.83982982,126.2167792
고라니,36.83945982,126.2328792
너구리,36.83963982,126.2289892
고라니,36.83500982,126.2376292
고라니,36.83843982,126.2321592
너구리,36.84062982,126.2361792
고라니,36.83656982,126.2176592
고라니,36.81640982,126.2202792
너구리,36.83507982,126.2198992
고라니,36.83090982,126.2284292
너구리,36.82799982,126.2328392
고라니,36.81331983,126.2426192
고라니,36.75065984,126.1395392
고라니,36.81466983,126.2311592
너구리,36.81547983,126.2390592
너구리,36.83466982,126.2482492
너구리,36.86867981,126.2132992
너구리,36.81583983,126.2298492
고라니,36.83496982,126.2229292
고라니,36.83430982,126.2542692
고라니,36.81455983,126.2291192
고라니,36.82405982,126.2280192
고라니,36.82239982,126.2337092
고라니,36.81468983,126.2297392
고라니,36.82427982,126.2301592
고라니,36.81267982,126.1903592
고라니,36.83327982,126.2273492
고라니,36.83524982,126.2528792
고라니,36.83515982,126.2528092
고라니,36.83202982,126.2398992
고라니,36.82449982,126.2378692
고라니,36.81150983,126.2328492
너구리,36.76654983,126.1572692
고라니,36.76146983,126.1559592
고라니,36.77925983,126.1373792
고라니,36.76619983,126.1319892
고라니,36.78028983,126.1564292
고라니,36.76181983,126.1564392
고라니,36.76580983,126.1562692
고라니,36.78760983,126.1882692
고라니,36.84519981,126.1561892
고라니,36.80978982,126.1676092
고라니,36.79376983,126.1850592
