하천명,시점위치(위도),시점위치(경도),종점위치(위도),종점위치(경도)
금호강,35.961786,128.9504387,35.8169444,128.4811111
청통천,36.0142471,128.7605468,35.8169444,128.4811111
신녕천,36.0382044,128.7177759,35.8169444,128.4811111
자호천,36.1003528,129.0927674,35.8169444,128.4811111
하거천,36.1395779,129.0299362,35.8169444,128.4811111
상신천,36.0693872,129.0824445,35.8169444,128.4811111
선원천,36.0697318,128.9922003,35.8169444,128.4811111
임고천,36.0561336,129.1176479,35.8169444,128.4811111
고촌천,35.9330137,129.1142234,35.8169444,128.4811111
북안천,35.8959165,129.0214769,35.8169444,128.4811111
대창천,35.8563166,128.958878,35.8169444,128.4811111
부기천,35.9668587,128.9313333,35.8169444,128.4811111
팔거천,36.0190101,128.5306874,35.8977207,128.5384471
동화천,35.9893857,128.7111149,35.8169444,128.4811111
도곡천,35.9329356,128.58996,35.9280371,128.5993316
웃빠골천,35.930201,128.6068119,35.921813,128.6001366
연경천,35.958879,128.6133444,35.958879,128.6133444
아꾸럼천,35.9016161,128.5172772,35.9011776,128.5127263
문주천,35.9075046,128.5262846,35.8938662,128.5202683
사방하천,35.9702778,128.5425,35.9035662,128.526105
서리골천,35.9662469,128.5632805,35.9670613,128.5667727
반포천,35.967202,128.5887765,35.9494385,128.5800479
금강,36.046705,126.8602557,36.01929,126.7671648
만경강,35.9274817,126.8557304,35.8889537,126.7329283
고척천,35.9766145,126.8319889,35.91882,126.8407765
미제천,35.9452072,126.6939013,35.8842377,126.7348408
경포천,35.9567836,126.7247581,35.985044,126.7299766
옥회천,35.9484786,126.787715,35.9027218,126.7292311
동천,35.0991818,126.99708,35.05166,126.982538
만연천,35.0789891,126.9852609,35.05166,126.982538
벌고천,35.0774556,126.9649966,35.05166,126.982538
웅곡천,35.0521462,126.9399142,35.05166,126.982538
도곡천,35.0786342,126.9134792,35.0069384,126.9105316
춘양천,34.9062411,126.9308003,34.9414273,126.9496022
석정천,34.9365222,126.9326706,34.9414273,126.9496022
회송천,34.9437801,126.9455574,34.9414273,126.9496022
광대천,34.969978,126.9535525,34.9414273,126.9496022
한천천,34.984943,127.0437518,34.9703331,127.0331724
결우천,34.9969389,126.9945159,34.9983599,127.0479016
정승천,34.9892659,126.9838335,34.9703331,127.0331724
외남천,34.9436369,127.0468116,35.0677276,127.1249387
고방천,34.9415054,127.0766881,34.9703331,127.0331724
도치천,34.977168,127.0581033,34.9703331,127.0331724
송산천,34.950625,127.0898227,35.0020876,127.124659
화순천,35.0991818,126.99708,35.0069384,126.9105316
복림천,35.0529125,127.0871929,35.0411179,127.0433967
운곡천,35.0107793,127.0378958,35.0411179,127.0433967
대포천,35.0137481,127.0326648,35.0411179,127.0433967
주토천,36.0629895,127.5815202,36.0410524,127.6076162
신성천,35.0144499,126.8972225,35.0069384,126.9105316
유곡천,34.9747393,126.9170985,35.0069384,126.9105316
쌍옥천,34.9784658,126.897499,35.0069384,126.9105316
대초천,34.8861024,126.9006757,34.9124552,126.8896167
정천,34.9023023,126.8983543,34.9124552,126.8896167
지석천,34.854173,127.0523672,34.9414273,126.9496022
송석천,34.9009186,127.0753149,34.8910196,127.0300653
어시천,34.9132871,127.0680034,34.8910196,127.0300653
운수천,34.9299623,127.0490605,34.8910196,127.0300653
쌍봉사천,34.8753266,127.0712682,34.8910196,127.0300653
서원천,34.8750762,127.0555645,34.8910196,127.0300653
사은천,34.8639832,127.0458187,34.8910196,127.0300653
추동천,34.8552612,127.0223905,34.8910196,127.0300653
송정천,34.8505681,127.0000661,34.8910196,127.0300653
활용천,34.8882757,127.0204185,34.8910196,127.0300653
이양천,34.8825422,126.9962782,34.8910196,127.0300653
오유천,34.9039531,127.007577,34.8910196,127.0300653
청풍천,34.8442814,126.9309106,34.8760764,126.9537646
세청천,34.9003211,126.9691774,34.8760764,126.9537646
강변천,34.8384049,126.9375339,34.8760764,126.9537646
차천,34.8718453,126.9501113,34.8760764,126.9537646
백운천,34.8852107,126.9277207,34.8760764,126.9537646
